"taz";"hhlds2015";"transittotal2015";"autototal2015";"hhlds2050";"transittotal2050";"autototal2050"
944.0;0.0;803;1227;0.0;1015;1330
158.0;784.0;817;1135;803.0;1049;1196
408.0;477.0;339;1127;542.0;458;1187
561.0;531.0;677;1117;575.0;882;1185
93.0;337.0;73;718;337.0;124;737
804.0;0.0;775;1218;11.0;963;1309
105.0;392.0;650;1082;408.0;838;1106
160.0;366.0;84;721;369.0;183;745
718.0;193.0;572;834;195.0;771;999
879.0;403.0;53;1000;1717.0;273;1076
537.0;162.0;705;1174;270.0;918;1287
921.0;0.0;583;986;0.0;678;1022
314.0;867.0;421;837;900.0;703;986
327.0;748.0;636;1100;850.0;819;1222
449.0;223.0;236;706;304.0;417;761
576.0;274.0;170;826;348.0;480;985
734.0;972.0;690;1145;981.0;892;1239
20.0;385.0;422;937;554.0;106;1092
270.0;624.0;286;824;734.0;530;978
505.0;225.0;168;840;225.0;399;963
135.0;322.0;468;1167;341.0;895;1246
324.0;449.0;519;847;478.0;770;1030
229.0;828.0;602;951;864.0;759;1017
367.0;1129.0;662;1002;1142.0;858;1101
491.0;95.0;91;1195;120.0;552;1291
940.0;0.0;894;1240;0.0;1125;1330
179.0;553.0;575;1000;617.0;781;1038
487.0;2.0;46;1146;2.0;414;1206
825.0;1309.0;537;832;1313.0;746;1012
424.0;260.0;177;768;325.0;397;753
435.0;224.0;390;765;276.0;497;798
117.0;330.0;543;886;415.0;743;1067
789.0;119.0;793;1207;119.0;980;1309
833.0;901.0;586;1021;922.0;826;1117
582.0;0.0;88;831;0.0;203;1008
816.0;722.0;577;855;728.0;780;1014
434.0;226.0;302;709;296.0;462;757
87.0;839.0;406;1113;892.0;647;1125
568.0;150.0;631;1243;1006.0;879;1326
475.0;179.0;94;818;179.0;155;842
64.0;338.0;251;1056;343.0;653;1144
319.0;1513.0;654;1129;1595.0;847;1228
366.0;844.0;660;984;907.0;864;1065
310.0;341.0;653;914;357.0;886;1015
629.0;229.0;699;1266;1680.0;901;1367
720.0;234.0;245;827;308.0;478;980
873.0;711.0;452;884;912.0;740;1070
168.0;533.0;289;854;542.0;540;1027
962.0;0.0;176;829;1.0;443;990
446.0;57.0;86;1026;86.0;400;1082
664.0;765.0;711;1267;1278.0;928;1404
33.0;473.0;477;910;477.0;760;1096
213.0;748.0;567;845;788.0;759;1023
246.0;942.0;701;1120;961.0;897;1158
549.0;0.0;41;643;0.0;71;696
373.0;640.0;693;1105;653.0;939;1175
731.0;27.0;748;1267;644.0;992;1366
454.0;629.0;538;1114;657.0;572;1144
502.0;177.0;513;887;304.0;740;1039
931.0;0.0;907;1238;0.0;1131;1327
957.0;1288.0;811;1200;1288.0;1024;1289
108.0;385.0;720;1038;413.0;954;1104
602.0;319.0;618;1271;1521.0;882;1391
233.0;997.0;663;908;1036.0;846;1005
645.0;76.0;702;1279;86.0;930;1410
211.0;478.0;474;845;524.0;701;1025
878.0;4.0;401;900;11.0;458;1083
663.0;503.0;590;889;619.0;782;997
222.0;945.0;426;846;956.0;625;1025
176.0;1238.0;748;1130;1286.0;983;1213
818.0;779.0;646;1001;790.0;849;1088
196.0;593.0;365;957;609.0;540;1039
662.0;496.0;593;905;558.0;776;999
7.0;9.0;541;925;582.0;745;1117
532.0;287.0;480;845;322.0;693;1025
223.0;1395.0;811;1151;1491.0;1025;1284
249.0;688.0;733;1156;691.0;912;1249
440.0;300.0;541;887;386.0;736;1035
685.0;17.0;765;1267;743.0;1031;1395
954.0;0.0;888;1221;0.0;1091;1325
531.0;290.0;394;835;364.0;610;1022
129.0;385.0;713;1092;444.0;938;1140
653.0;0.0;161;1199;529.0;894;1334
306.0;563.0;435;850;600.0;747;1028
768.0;184.0;628;1286;1087.0;862;1510
974.0;0.0;324;830;0.0;683;980
97.0;507.0;634;975;624.0;867;1099
312.0;609.0;511;838;620.0;724;1025
618.0;29.0;741;1170;86.0;963;1254
959.0;0.0;59;827;0.0;65;982
461.0;356.0;452;945;376.0;642;1086
552.0;328.0;372;832;400.0;587;1021
848.0;345.0;557;994;345.0;792;1063
26.0;259.0;275;954;316.0;435;1099
273.0;494.0;249;826;569.0;568;982
484.0;0.0;393;1169;0.0;492;1249
710.0;415.0;603;870;433.0;788;1019
884.0;68.0;37;927;1342.0;254;986
15.0;509.0;236;1029;645.0;606;1128
17.0;542.0;419;965;555.0;524;1119
198.0;452.0;258;832;561.0;504;1011
221.0;1612.0;765;1145;1715.0;975;1278
976.0;6.0;473;824;21.0;586;1010
301.0;162.0;658;1036;169.0;855;1040
122.0;313.0;588;899;468.0;791;1029
353.0;1174.0;637;1006;1223.0;849;1098
193.0;402.0;150;828;521.0;376;939
427.0;227.0;340;886;299.0;535;956
274.0;580.0;324;843;622.0;595;993
885.0;342.0;402;938;391.0;557;1076
332.0;1012.0;648;1140;1022.0;866;1240
348.0;1109.0;690;1095;1117.0;942;1168
260.0;448.0;302;846;515.0;601;1002
785.0;119.0;727;1165;119.0;948;1271
674.0;446.0;314;831;476.0;571;974
715.0;194.0;639;909;210.0;906;1026
84.0;333.0;52;868;333.0;90;872
486.0;28.0;260;1160;29.0;409;1236
622.0;327.0;825;1254;747.0;1065;1365
918.0;1062.0;174;883;4361.0;385;901
542.0;273.0;447;838;307.0;664;1024
732.0;587.0;659;1283;805.0;930;1403
